,0,1,2,3,4,5,6,7,8,9,cluster
No. 1_L_1.5 _200 _02-18-2025/0089.png,15.135248943340535,2.380888816133732,-4.96465617998371,-2.6902253698153578,-1.4448093148504464,0.398515386742762,-4.49226245309897,0.9679721870180976,-1.2194741350780094,-1.3736002143455197,10
No. 1_L_1.5 _200 _02-18-2025/0090.png,15.14754690814978,2.339295667903137,-4.976556684214767,-2.702581627107361,-1.2943766939318184,0.3712564567350069,-4.424929824803602,1.0318503311529428,-1.142059776645468,-1.4418835890134911,10
No. 1_L_1.5 _200 _02-18-2025/0091.png,15.146177864370625,2.358313578569735,-4.883789192696225,-2.682186597415922,-1.3642806556317597,0.5078597631072395,-4.404248276707101,0.8989309692575747,-1.2011906055157902,-1.397435737019313,10
No. 1_L_1.5 _200 _02-18-2025/0092.png,15.13451605083704,2.3390579160126386,-4.987748861855942,-2.583461187639792,-1.2843566626168146,0.5457536141459105,-4.50728867492243,0.9586399922736896,-1.2148048475900943,-1.5132189240989788,10
No. 1_L_1.5 _200 _02-18-2025/0093.png,15.1117839036019,2.337079460746514,-5.009893109106784,-2.685396320377999,-1.2458038713966149,0.5500946610721806,-4.459828608558295,0.8830310865396411,-1.141027954502979,-1.5014285376609644,10
No. 1_L_1.5 _200 _02-18-2025/0094.png,15.126108852744828,2.338989227273583,-5.027664760616474,-2.8664964897816936,-1.3927851531962965,0.5249005750442892,-4.564065776897971,0.8753495872729475,-1.1869911091429766,-1.4697139379737147,10
No. 1_L_1.5 _200 _02-18-2025/0095.png,15.119601650118998,2.3126408866459816,-4.97662341610503,-2.702026763851772,-1.2501350238762052,0.5807669774980786,-4.278089774461131,0.7408988073038065,-1.1484922882861437,-1.5498363983693255,10
No. 1_L_1.5 _200 _02-18-2025/0096.png,15.138345616085935,2.3290650852144363,-5.020902638477668,-2.654007153694752,-1.261833484677366,0.6245588679612224,-4.317256121052974,0.8699744773407305,-1.1381453480736383,-1.5138753687344753,10
No. 1_L_1.5 _200 _02-18-2025/0097.png,15.117990077074648,2.323446383263281,-5.042794301781674,-2.6683112886893694,-1.2835774740037635,0.5909182238358461,-4.400944629314012,0.9984278581559698,-1.1384062099098993,-1.5553769594826126,10
No. 1_L_1.5 _200 _02-18-2025/0098.png,15.084359558256278,2.337279098546329,-5.144484042993511,-2.754556006025131,-1.2174462862617617,0.6348684646205403,-4.522945623999009,0.8526936596066568,-1.1223616768001363,-1.588252268709489,10
No. 1_L_1.5 _200 _02-18-2025/0099.png,15.153320747277943,2.3758375724689884,-5.074592001769977,-2.626667603317556,-1.4109516135000053,0.483132865111795,-4.6727861276772416,0.9321264143762892,-1.2191934464108856,-1.4650705730174518,10
No. 1_L_1.5 _200 _02-18-2025/0100.png,15.164391366692094,2.359303543573624,-4.962266104344684,-2.6143947187935312,-1.403330265513481,0.4175940993013505,-4.471242827564533,1.0610163075530012,-1.1998549159185978,-1.413558491204796,10
No. 1_L_1.5 _200 _02-18-2025/0101.png,15.147685242108576,2.366275268375276,-4.869600380338301,-2.746513878713741,-1.3348073995876997,0.2909779918314523,-4.554508545402857,0.9216835771835336,-1.2187043577875185,-1.339303249824963,10
No. 1_L_1.5 _200 _02-18-2025/0102.png,15.099494278484894,2.352662970218514,-4.992511794175622,-2.6893081493228466,-1.373335412602911,0.5529715536115214,-4.434271749370881,0.9872708744459624,-1.092159997494739,-1.498282408799901,10
No. 1_L_1.5 _200 _02-18-2025/0103.png,15.16900075826316,2.3756941879598674,-5.059073534738704,-2.574059210536658,-1.3686134382383148,0.4098131550310109,-4.587770261181273,1.0584349658743966,-1.2150934484204876,-1.3690075556180008,10
No. 1_L_1.5 _200 _02-18-2025/0104.png,15.114763740491544,2.393838825761307,-5.074274873900023,-2.692643888237897,-1.5781803739298512,0.4917203800239687,-4.620760012911234,1.0137686891700612,-1.2103642857833072,-1.4822961923635414,10
No. 1_L_1.5 _200 _02-18-2025/0105.png,15.167977234310609,2.388245218358623,-5.0610231988500045,-2.748120704419764,-1.4285991306927146,0.3209092709157231,-4.719594937965239,0.9846188341276968,-1.2596581607381732,-1.2585495445898545,10
No. 1_L_1.5 _200 _02-18-2025/0106.png,15.165125889069202,2.380545934590865,-5.009506555659534,-2.6736543827690795,-1.393564705378326,0.292759058520029,-4.572978595981248,0.9905606498741024,-1.323075622252308,-1.270420686292788,10
No. 1_L_1.5 _200 _02-18-2025/0107.png,15.161601070941302,2.357829673236578,-5.0711854441371225,-2.643763803980286,-1.4456907566648771,0.517174330029901,-4.478632814093171,0.9851378973200432,-1.263979285781214,-1.3927782271615383,10
No. 1_L_1.5 _200 _02-18-2025/0108.png,15.106897356498628,2.3537694134060416,-5.034757316705985,-2.8013459737167854,-1.4266184287422616,0.4775617077209633,-4.56422310526167,0.9052845880229734,-1.083319834447682,-1.4984571268861724,10
No. 1_L_1.5 _200 _02-18-2025/0109.png,15.139994030425242,2.352412469411256,-4.875173218601995,-2.7286124989037006,-1.373977482066067,0.458183443400511,-4.602577146947096,0.7918863894443726,-1.2233841473998035,-1.3849145302489143,10
No. 1_L_1.5 _200 _02-18-2025/0110.png,15.146723249258724,2.376525194705572,-5.143781529950511,-2.773348776609293,-1.404478379128208,0.6316668676680743,-4.537266749905484,1.057677443140865,-1.2395630422541852,-1.445043550063568,10
No. 1_L_1.5 _200 _02-18-2025/0111.png,15.127917695193588,2.380081378355806,-5.093618105860923,-2.647611499903128,-1.4218731901101993,0.4926865334473058,-4.57977730528577,1.0323969474615486,-1.2724269958333585,-1.493127733792058,10
No. 1_L_1.5 _200 _02-18-2025/0112.png,15.155700956224454,2.374245971611272,-5.015025132537862,-2.642532989109601,-1.3832593540746272,0.4989199331979197,-4.541756298736052,0.8332603643378382,-1.2599776621179164,-1.3597027285438503,10
No. 1_L_1.5 _200 _02-18-2025/0113.png,15.152769432428496,2.341177280170953,-4.958701762275728,-2.719894951788579,-1.3205154548135871,0.4269322349773494,-4.367023304291189,0.8007342682637146,-1.1730952579343892,-1.2486266902197722,10
No. 1_L_1.5 _200 _02-18-2025/0114.png,15.153005465168247,2.3799248884722246,-5.080398114586391,-2.613099762415754,-1.4231289089659658,0.4013055239794658,-4.586710257279759,1.04577869225598,-1.2082942067157771,-1.3868822822854885,10
No. 1_L_1.5 _200 _02-18-2025/0115.png,15.153157625176185,2.3397468151126937,-4.9350040538912605,-2.700546831432482,-1.36872495803948,0.5909140190155471,-4.3695241668407885,0.998975854325754,-1.2671549854299256,-1.5323624736870085,10
