,0,1,2,3,4,5,6,7,8,9
No. 1_L_1.5 _200 _02-18-2025/0058.png,-3.0655556896438787,3.589981961028695,-1.1007266030713954,-3.1000115824399366,-1.6454961735763871,4.281749139983122,2.0072017372512936,1.4699548209814441,-1.0947214701405519,-1.1840010549657176
No. 1_L_1.5 _200 _02-18-2025/0059.png,-3.1778733387257176,3.7486490781836777,-1.2424470312842324,-2.9406917231108816,-1.6724344825566075,4.471183805693514,1.9683203169114292,1.5645895676610575,-1.1679712573974494,-1.0712137503632735
No. 1_L_1.5 _200 _02-18-2025/0060.png,-3.3117175519487123,3.587201683679255,-0.9140286944393221,-2.9399334107048984,-1.5537434028120258,4.3408091582983275,1.9903094237596362,1.4133111565422531,-1.0439536865218642,-1.1672648748743564
No. 1_L_1.5 _200 _02-18-2025/0061.png,-3.0656528332631128,3.70189321846211,-1.2219270887381413,-3.042816833398697,-1.6648208950659078,4.308243365794466,1.88866188376167,1.6216306057455903,-1.1846303159799343,-1.093013411603554
No. 1_L_1.5 _200 _02-18-2025/0062.png,-3.0999100709280833,3.6665353060734116,-1.2782430702762237,-3.0955554260533624,-1.5644935878062252,4.337504943451467,1.933356623574508,1.606574675398761,-1.139022805406581,-1.0437432228813899
No. 1_L_1.5 _200 _02-18-2025/0063.png,-3.190863587472408,3.655232720949945,-1.0216076163974357,-2.810641082502517,-1.6452115774956924,4.243741387012786,1.840348310528272,1.535311751853511,-1.0409425382004078,-1.134022957970732
No. 1_L_1.5 _200 _02-18-2025/0064.png,-3.178246408269186,3.8050770173421213,-1.1934463734683245,-2.8509756596846803,-1.7517725358602676,4.511107610648626,2.0264757817037906,1.7003364244343437,-1.2773108956593344,-1.0384974643280902
No. 1_L_1.5 _200 _02-18-2025/0065.png,-3.217082990378149,3.6461561423671425,-1.2071649914592584,-2.909160934490745,-1.558135697262578,4.283210369242914,1.904671047380361,1.4361908439413433,-1.1618701672628144,-1.1469890143252113
No. 1_L_1.5 _200 _02-18-2025/0066.png,-3.1460025927884256,3.717836078226682,-1.221370514082162,-2.8876349531030403,-1.5958186374791103,4.388214424298122,1.8783295645714957,1.5389102706355242,-1.1003116979169218,-1.0076269205983692
No. 1_L_1.5 _200 _02-18-2025/0067.png,-3.0816456402038446,3.6231228301516767,-1.1853694096440712,-2.889487736399551,-1.4854187755615347,4.281135531269307,1.9845549254849209,1.514421597695348,-1.1310136057229998,-1.1308864660152032
No. 1_L_1.5 _200 _02-18-2025/0068.png,-3.1616290276282433,3.799039988786362,-1.1589485988804409,-2.889958874097994,-1.588464807349053,4.509285494365505,1.8828091285337851,1.6533533738251833,-1.1228532672607663,-0.9660672876524425
No. 1_L_1.5 _200 _02-18-2025/0069.png,-3.211175057404523,3.7331121775313427,-1.3906848858297334,-2.9300143454119327,-1.564509304490278,4.40383674097667,1.8452436181354102,1.6479940743599002,-1.136184492689565,-0.9637619532822304
No. 1_L_1.5 _200 _02-18-2025/0070.png,-3.2133635820132174,3.6342807201028684,-1.1095758554027064,-2.994028337476977,-1.4475452949938163,4.376817521046972,1.922518526308816,1.5741403925809099,-1.0650031259429744,-1.0759818443663858
No. 1_L_1.5 _200 _02-18-2025/0071.png,-3.266816559024103,3.674649038486627,-1.0037448078862532,-2.7528606743453645,-1.513413794892465,4.417020274898837,1.9360121793323681,1.6166340291979964,-1.0851538743023228,-0.9646528812088717
No. 1_L_1.5 _200 _02-18-2025/0072.png,-3.0975487780224835,3.713854700453276,-1.0189526845058605,-3.045682080130989,-1.7998961038303158,4.454627040715618,1.917846188725162,1.5425013202977613,-1.1696142587324194,-1.086069381781963
No. 1_L_1.5 _200 _02-18-2025/0073.png,-3.099072162581277,3.6059924635258676,-1.0148717061691421,-3.0073431348392594,-1.4497477163463306,4.198725929281672,1.9106742758416138,1.4293940449538045,-1.087690443468053,-1.1038076010779787
No. 1_L_1.5 _200 _02-18-2025/0074.png,-3.1534241347914023,3.715233119424425,-1.1085567785766592,-2.856212769291565,-1.4537863322873377,4.333137627042447,1.9721248371772795,1.6182135089694665,-1.131811989582553,-1.0707693110329886
No. 1_L_1.5 _200 _02-18-2025/0075.png,-3.085102036947572,3.5446884216750747,-1.080050117945765,-3.1237792480917355,-1.5676553668386242,4.447318179446027,1.961196181732627,1.5600163393973823,-1.0955138454407092,-1.1631634876380441
No. 1_L_1.5 _200 _02-18-2025/0076.png,-3.273664727986959,3.6116779724719246,-1.0589025902704048,-3.045992730894694,-1.560874434803115,4.351094650912385,1.9217510277441103,1.539670110931107,-1.0477025429158207,-1.023727675281613
No. 1_L_1.5 _200 _02-18-2025/0077.png,-3.164280576973428,3.7875109849310435,-1.1618629133165328,-2.8355555814745683,-1.5846908393074384,4.426975583914176,1.96931534563945,1.6217589565529043,-1.1240715301857194,-0.9484072950914206
No. 1_L_1.5 _200 _02-18-2025/0078.png,-3.133220569215985,3.7333549229550567,-1.2775372813988248,-2.926890545349697,-1.6688872717683547,4.4065155146949255,1.9113389296356715,1.6086468180240008,-1.167062187697747,-0.9125168656705882
No. 1_L_1.5 _200 _02-18-2025/0079.png,-3.081147079618181,3.768653691334821,-1.254391719154329,-2.906365613127975,-1.5752457693058752,4.298033595944732,1.9740263684642692,1.6825998689325807,-1.1261109351067564,-0.9077999873046316
No. 1_L_1.5 _200 _02-18-2025/0080.png,-3.365071289586523,3.747604272667104,-1.0768734338374912,-2.837976087144292,-1.358386157618011,4.377611105208766,1.9203452463064,1.5167044005171615,-1.1071412968723229,-1.0916040750942368
No. 1_L_1.5 _200 _02-18-2025/0081.png,-3.1473015429545246,3.7452553999817724,-1.1068814965334397,-2.854619245772433,-1.6083058485972885,4.4333263114280115,1.9885438973566194,1.6339601260259364,-1.1047235401707984,-1.091391993601369
No. 1_L_1.5 _200 _02-18-2025/0082.png,-3.2201435631162383,3.784122345439567,-1.246042889699682,-2.811036842606291,-1.5710096319296718,4.399543928133115,1.8633396185758888,1.7067159370819436,-1.1507975609559111,-0.901111115167152
No. 1_L_1.5 _200 _02-18-2025/0083.png,-3.1291309478620146,3.750170722650149,-1.1371647865999783,-2.8059162741887196,-1.5388294868147772,4.355399391825969,1.9500542259025908,1.4873937363805432,-1.1231527940796757,-0.9103006977071022
No. 1_L_1.5 _200 _02-18-2025/0084.png,-3.102976814353653,3.5820937886007207,-1.254331976633651,-2.8826083604691997,-1.5463093292397283,4.272063208740866,1.9668745954213693,1.5049054995614632,-1.0866085729705743,-0.9591770532409458
No. 1_L_1.5 _200 _02-18-2025/0085.png,-3.2240852266263635,3.748632428029712,-1.0451779166749837,-2.998889057645105,-1.8101253595543603,4.41399005168925,1.9148047348454675,1.4179834452034275,-1.1902271300590221,-0.8088371495678262
No. 1_L_1.5 _200 _02-18-2025/0086.png,-3.1603875694205597,3.756682503125551,-1.2025840742241396,-2.8627625899210596,-1.6343854071004569,4.349104134215285,1.9937689968808041,1.547888804173354,-1.1468263719401863,-0.9796259872761279
No. 1_L_1.5 _200 _02-18-2025/0087.png,-3.2900582656185113,3.7599724183085046,-1.1362480547627865,-2.8113994106447144,-1.7129285937104224,4.419448929949931,1.890609742277442,1.674423226345306,-1.1072732318699454,-0.8639479086156823
No. 1_L_1.5 _200 _02-18-2025/0088.png,-3.19652410331606,3.688335758380047,-1.1748864247825157,-2.913881480552626,-1.5776585296911692,4.2586668262461504,1.9297062138942802,1.61029988099496,-1.144246630932517,-1.029365890875288
No. 1_L_1.5 _200 _02-18-2025/0089.png,-3.1828964323509945,3.669238473629881,-1.276597948792352,-2.864650702582334,-1.7281244933125808,4.417048111604842,1.9083518088396407,1.5574993829556654,-1.0720078078537492,-0.8726218774537369
No. 1_L_1.5 _200 _02-18-2025/0090.png,-3.1795672609378327,3.6851691988022752,-1.095001004789152,-2.863812272102601,-1.7701728735201798,4.29998096165945,1.9018335085683038,1.6603195851132853,-1.0565153980192903,-0.9126022732634418
No. 1_L_1.5 _200 _02-18-2025/0091.png,-3.0957190416797324,3.6592184591393657,-1.1665050191908843,-2.9153961771970396,-1.6435034372073791,4.347260181846297,1.8955668797408742,1.486386633794453,-1.0751906794261774,-0.8204980802193669
No. 1_L_1.5 _200 _02-18-2025/0092.png,-3.1842627853683494,3.726482115702111,-1.084609189381883,-2.8385533464724446,-1.5426118514907867,4.346975806077346,1.9816909918650278,1.5890832555635672,-1.127256953518929,-0.9915218527632885
No. 1_L_1.5 _200 _02-18-2025/0093.png,-3.2361535827807497,3.6438012803379647,-1.0372190355798612,-2.8705653076465367,-1.5638192636924049,4.319037479346591,1.9852462668514834,1.5113167935690726,-1.048192052107493,-0.9177363990373242
No. 1_L_1.5 _200 _02-18-2025/0094.png,-3.2624842484763867,3.594546907876321,-1.1452541367987799,-3.062965512637609,-1.7101253589519811,4.404704180008631,2.060621121132703,1.5577656943434715,-1.09931680991995,-0.96092614998516
No. 1_L_1.5 _200 _02-18-2025/0095.png,-3.1968383151180957,3.6387274605172326,-1.0012453246950983,-2.9443536808181925,-1.5625046396155677,4.157638625003559,1.9485288142719717,1.3586799706604218,-1.0540451850535766,-1.007937365459319
No. 1_L_1.5 _200 _02-18-2025/0096.png,-3.2167024020234125,3.716350546421066,-1.0239579604701472,-2.9521591913918312,-1.531968209719198,4.2483589468760155,1.88397521316211,1.4630281728116188,-1.0263464595006664,-0.97771709537701
No. 1_L_1.5 _200 _02-18-2025/0097.png,-3.256593811768096,3.6764121648220036,-1.048468137304587,-2.9144859950940303,-1.5234831897425125,4.249073379483127,1.923091621064996,1.6229836908644373,-1.0824016534433099,-0.982069290856947
No. 1_L_1.5 _200 _02-18-2025/0098.png,-3.388452341726601,3.618141466930201,-0.9934154835918161,-2.9226323141190864,-1.5041112388066131,4.37409633783917,2.0366273062426177,1.493719739592386,-1.0237196663676513,-1.0274811427990045
No. 1_L_1.5 _200 _02-18-2025/0099.png,-3.2578025870066316,3.7780294240825194,-1.231005277702307,-2.884772578406091,-1.652536513337035,4.511111098163584,2.0699745687490516,1.5921175710574378,-1.1035422258193754,-0.9305490742758971
No. 1_L_1.5 _200 _02-18-2025/0100.png,-3.1434943291384254,3.7564780381276837,-1.2159089344323473,-2.8681843778172835,-1.708202423302946,4.364162985684354,1.890384690236226,1.672227299024522,-1.0932821786332718,-0.904280312619842
No. 1_L_1.5 _200 _02-18-2025/0101.png,-3.0925482005555587,3.6217036091183648,-1.1731489297857944,-2.8349318616375294,-1.8625306975772342,4.435274786600022,1.9940085618692875,1.562737886530586,-1.0955064898201015,-0.8394961768748224
No. 1_L_1.5 _200 _02-18-2025/0102.png,-3.234110901845714,3.6131177468801954,-1.1708151258792583,-2.8807554216864073,-1.5375034491838835,4.312339315667728,1.9138102880476322,1.5886708430536043,-0.9883846923965358,-0.9508105648925627
No. 1_L_1.5 _200 _02-18-2025/0103.png,-3.2239705491474986,3.824916293694405,-1.204225827293433,-2.8247720473575644,-1.7099209871390015,4.469662458831452,1.9519760279920477,1.6868476803968306,-1.102892411677279,-0.8717474751011665
No. 1_L_1.5 _200 _02-18-2025/0104.png,-3.3020448648512666,3.675606058622999,-1.3993714520459584,-2.912232795136739,-1.6132293102425703,4.476305017106533,1.9914786831533031,1.6325935458564462,-1.0919106431756254,-0.9390456110129279
No. 1_L_1.5 _200 _02-18-2025/0105.png,-3.2501549382982793,3.742594091969088,-1.2624540521025924,-2.9155454768679707,-1.8874632943679086,4.597636179355517,2.0491050710689547,1.6534200621314383,-1.1194777546301828,-0.8180579205343919
No. 1_L_1.5 _200 _02-18-2025/0106.png,-3.1961211413305675,3.7496507395219068,-1.2371054984745928,-2.8368294790487285,-1.859635629252932,4.477027648026443,1.9511162379563973,1.6100256299060902,-1.1904104879959234,-0.8108654318214161
No. 1_L_1.5 _200 _02-18-2025/0107.png,-3.2464192651838015,3.785576784857456,-1.2291184182009065,-2.9634623958847195,-1.6471815036940032,4.378880035411493,1.9193580611921246,1.5961538874422505,-1.1496317585976998,-0.8894462899298956
No. 1_L_1.5 _200 _02-18-2025/0108.png,-3.2804789119316027,3.5906259436601777,-1.2104737327401232,-2.9575689806514047,-1.6763866034419341,4.374678009263656,2.060635086630075,1.5835707527786358,-0.997083572727308,-0.9519362876820021
No. 1_L_1.5 _200 _02-18-2025/0109.png,-3.098650916618454,3.621360199851246,-1.1756578941700848,-2.9173835994107673,-1.7005847810285135,4.4251696667610325,2.1089314038110087,1.4721310944304875,-1.1180080354956254,-0.8846278424621454
No. 1_L_1.5 _200 _02-18-2025/0110.png,-3.3415440631985973,3.7310792212527266,-1.183391868238969,-3.0660641532034205,-1.6194947334590606,4.546858538477911,1.8585065780163346,1.6305576483574118,-1.0751977644586785,-0.9709523878180892
No. 1_L_1.5 _200 _02-18-2025/0111.png,-3.2999561100109736,3.7288238486158924,-1.2468470985058833,-2.8657998053110942,-1.617467194820056,4.4707215789094885,1.9437178664577501,1.6302135745081898,-1.1504358032515356,-0.9858318408715987
No. 1_L_1.5 _200 _02-18-2025/0112.png,-3.2021137929660046,3.7541142540541474,-1.1976383855964041,-2.909160162205258,-1.6623049805828285,4.4554095038265675,2.0007199806624816,1.4552257294660809,-1.1157505504017464,-0.920666882674432
